StartController,controller starts
ControllerExecution,Begin#NewStatsIn$1369851321.536576$61$2$83#AddNewDataToBuffer$1369851321.536603$61$2$83#NewStatsIn$1369851321.538329$61$2$83#AddNewDataToBuffer$1369851321.538351$61$2$83#NewStatsIn$1369851321.640217$61$2$83#AddNewDataToBuffer$1369851321.640240$61$2$83#NewStatsIn$1369851321.645751$61$2$83#AddNewDataToBuffer$1369851321.645775$61$2$83#ReleaseBuffer$1369851321.645781$61$2$83#StartRunGo$1369851321.645902$61$2#DoneRunGo$1369851321.645970$61$2
ControllerExecution,Begin#NewStatsIn$1369851322.536975$61$2$84#AddNewDataToBuffer$1369851322.537012$61$2$84#NewStatsIn$1369851322.537374$61$2$84#AddNewDataToBuffer$1369851322.537397$61$2$84#NewStatsIn$1369851322.638028$61$2$84#AddNewDataToBuffer$1369851322.638051$61$2$84#NewStatsIn$1369851322.643593$61$2$84#AddNewDataToBuffer$1369851322.643617$61$2$84#ReleaseBuffer$1369851322.643623$61$2$84#StartRunGo$1369851322.643764$61$2#DoneRunGo$1369851322.643837$61$2
ControllerExecution,Begin#NewStatsIn$1369851323.537431$61$2$85#AddNewDataToBuffer$1369851323.537460$61$2$85#NewStatsIn$1369851323.538251$61$2$85#AddNewDataToBuffer$1369851323.538274$61$2$85#NewStatsIn$1369851323.638284$61$2$85#AddNewDataToBuffer$1369851323.638325$61$2$85#NewStatsIn$1369851323.643479$61$2$85#AddNewDataToBuffer$1369851323.643504$61$2$85#ReleaseBuffer$1369851323.643509$61$2$85#StartRunGo$1369851323.643649$61$2#DoneRunGo$1369851323.643725$61$2
ControllerExecution,Begin#NewStatsIn$1369851324.536686$61$2$86#AddNewDataToBuffer$1369851324.536706$61$2$86#NewStatsIn$1369851324.538799$61$2$86#AddNewDataToBuffer$1369851324.538820$61$2$86#NewStatsIn$1369851324.636545$61$2$86#AddNewDataToBuffer$1369851324.636567$61$2$86#NewStatsIn$1369851324.642875$61$2$86#AddNewDataToBuffer$1369851324.642899$61$2$86#ReleaseBuffer$1369851324.642904$61$2$86#StartRunGo$1369851324.643000$61$2#DoneRunGo$1369851324.643127$61$2
ControllerExecution,Begin#NewStatsIn$1369851325.537549$61$2$87#AddNewDataToBuffer$1369851325.537568$61$2$87#NewStatsIn$1369851325.538537$61$2$87#AddNewDataToBuffer$1369851325.538558$61$2$87#NewStatsIn$1369851325.636938$61$2$87#AddNewDataToBuffer$1369851325.636960$61$2$87#NewStatsIn$1369851325.641994$61$2$87#AddNewDataToBuffer$1369851325.642018$61$2$87#ReleaseBuffer$1369851325.642023$61$2$87#StartRunGo$1369851325.642118$61$2#DoneRunGo$1369851325.642245$61$2
ControllerExecution,Begin#NewStatsIn$1369851326.536672$61$2$88#AddNewDataToBuffer$1369851326.536691$61$2$88#NewStatsIn$1369851326.539153$61$2$88#AddNewDataToBuffer$1369851326.539173$61$2$88#NewStatsIn$1369851326.636119$61$2$88#AddNewDataToBuffer$1369851326.636142$61$2$88#NewStatsIn$1369851326.642099$61$2$88#AddNewDataToBuffer$1369851326.642123$61$2$88#ReleaseBuffer$1369851326.642128$61$2$88#StartRunGo$1369851326.642224$61$2#DoneRunGo$1369851326.642345$61$2
ControllerExecution,Begin#NewStatsIn$1369851327.537223$61$2$89#AddNewDataToBuffer$1369851327.537242$61$2$89#NewStatsIn$1369851327.538251$61$2$89#AddNewDataToBuffer$1369851327.538272$61$2$89#NewStatsIn$1369851327.636146$61$2$89#AddNewDataToBuffer$1369851327.636168$61$2$89#NewStatsIn$1369851327.640891$61$2$89#AddNewDataToBuffer$1369851327.640915$61$2$89#ReleaseBuffer$1369851327.640920$61$2$89#StartRunGo$1369851327.641014$61$2#DoneRunGo$1369851327.641076$61$2
ControllerExecution,Begin#NewStatsIn$1369851328.536320$61$2$90#AddNewDataToBuffer$1369851328.536339$61$2$90#NewStatsIn$1369851328.538731$61$2$90#AddNewDataToBuffer$1369851328.538752$61$2$90#NewStatsIn$1369851328.634952$61$2$90#AddNewDataToBuffer$1369851328.634974$61$2$90#NewStatsIn$1369851328.640783$61$2$90#AddNewDataToBuffer$1369851328.640807$61$2$90#ReleaseBuffer$1369851328.640813$61$2$90#StartRunGo$1369851328.640908$61$2#DoneRunGo$1369851328.641027$61$2
ControllerExecution,Begin#NewStatsIn$1369851329.538224$61$2$91#AddNewDataToBuffer$1369851329.538243$61$2$91#NewStatsIn$1369851329.538369$61$2$91#AddNewDataToBuffer$1369851329.538390$61$2$91#NewStatsIn$1369851329.633930$61$2$91#AddNewDataToBuffer$1369851329.633952$61$2$91#NewStatsIn$1369851329.642211$61$2$91#AddNewDataToBuffer$1369851329.642235$61$2$91#ReleaseBuffer$1369851329.642241$61$2$91#StartRunGo$1369851329.642334$61$2#DoneRunGo$1369851329.642400$61$2
ControllerExecution,Begin#NewStatsIn$1369851330.536591$61$2$92#AddNewDataToBuffer$1369851330.536622$61$2$92#NewStatsIn$1369851330.539010$61$2$92#AddNewDataToBuffer$1369851330.539034$61$2$92#NewStatsIn$1369851330.633895$61$2$92#AddNewDataToBuffer$1369851330.633919$61$2$92#NewStatsIn$1369851330.640043$61$2$92#AddNewDataToBuffer$1369851330.640069$61$2$92#ReleaseBuffer$1369851330.640075$61$2$92#StartRunGo$1369851330.640203$61$2#DoneRunGo$1369851330.640277$61$2
