StartController,controller starts
ControllerExecution,Begin#AddNewDataToBuffer$1370901990.085667$61$6$50#ReleaseBuffer$1370901990.085683$61$6$50#StartRunGo$1370901990.085855$61$6#DoneRunGo$1370901990.089202$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901990.134025$61$7$50#ReleaseBuffer$1370901990.134040$61$7$50#StartRunGo$1370901990.134601$61$7#DoneRunGo$1370901990.134693$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901993.095451$61$6$51#ReleaseBuffer$1370901993.095470$61$6$51#StartRunGo$1370901993.096213$61$6#DoneRunGo$1370901993.097509$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901993.158480$61$7$51#ReleaseBuffer$1370901993.158496$61$7$51#StartRunGo$1370901993.159647$61$7#DoneRunGo$1370901993.159743$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901996.107902$61$6$52#ReleaseBuffer$1370901996.107921$61$6$52#StartRunGo$1370901996.110182$61$6#DoneRunGo$1370901996.118722$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901996.166929$61$7$52#ReleaseBuffer$1370901996.166948$61$7$52#StartRunGo$1370901996.173713$61$7#DoneRunGo$1370901996.173821$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901999.090776$61$6$53#ReleaseBuffer$1370901999.090796$61$6$53#StartRunGo$1370901999.091567$61$6#DoneRunGo$1370901999.092176$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901999.125939$61$7$53#ReleaseBuffer$1370901999.125950$61$7$53#StartRunGo$1370901999.126205$61$7#DoneRunGo$1370901999.126284$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370902002.086053$61$6$54#ReleaseBuffer$1370902002.086064$61$6$54#StartRunGo$1370902002.086226$61$6#DoneRunGo$1370902002.087092$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370902002.131326$61$7$54#ReleaseBuffer$1370902002.131343$61$7$54#StartRunGo$1370902002.141743$61$7#DoneRunGo$1370902002.141867$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370902005.092857$61$6$55#ReleaseBuffer$1370902005.092874$61$6$55#StartRunGo$1370902005.093533$61$6#DoneRunGo$1370902005.094070$61$6
