   DEBUG,05/24/2013 14:34:53.456,        agentUtil,              EvalLog, 99,MeasureLatency,Begin$1369406092.457732#DoneOneRoundConnMeasure$1369406092.699797
   DEBUG,05/24/2013 14:34:53.665,        agentUtil,              EvalLog, 99,OneRoundOfConnMeasure,Begin$1369406093.457704#DoneFindSk$1369406093.462609$1001#DoneWeb10GMeasure$1369406093.620208$1001#DoneOneRoundConnMeasure$1369406093.664995
   DEBUG,05/24/2013 14:34:54.455,        agentUtil,              EvalLog, 99,JobExecutionLoop,Begin$1369406093.457126#ScheduleDone$1369406093.457443#DoneFindSk$1369406093.462623$1001#DoneWeb10GMeasure$1369406093.620239$1001#StartRunGoOfJobFlow$1369406093.664956$61$2
   DEBUG,05/24/2013 14:34:54.456,        agentUtil,              EvalLog, 99,MeasureLatency,Begin$1369406093.457138#DoneOneRoundConnMeasure$1369406093.665005
   DEBUG,05/24/2013 14:34:54.639,        agentUtil,              EvalLog, 99,OneRoundOfConnMeasure,Begin$1369406094.456708#DoneFindSk$1369406094.462620$1001#DoneWeb10GMeasure$1369406094.615122$1001#DoneOneRoundConnMeasure$1369406094.639041
   DEBUG,05/24/2013 14:34:55.455,        agentUtil,              EvalLog, 99,JobExecutionLoop,Begin$1369406094.456128#ScheduleDone$1369406094.456399#DoneFindSk$1369406094.462631$1001#DoneWeb10GMeasure$1369406094.615155$1001#StartRunGoOfJobFlow$1369406094.639012$61$2
   DEBUG,05/24/2013 14:34:55.456,        agentUtil,              EvalLog, 99,MeasureLatency,Begin$1369406094.456138#DoneOneRoundConnMeasure$1369406094.639048
   DEBUG,05/24/2013 14:34:55.639,        agentUtil,              EvalLog, 99,OneRoundOfConnMeasure,Begin$1369406095.456710#DoneFindSk$1369406095.461175$1001#DoneWeb10GMeasure$1369406095.609691$1001#DoneOneRoundConnMeasure$1369406095.639294
   DEBUG,05/24/2013 14:34:56.455,        agentUtil,              EvalLog, 99,JobExecutionLoop,Begin$1369406095.456405#ScheduleDone$1369406095.456614#DoneFindSk$1369406095.461189$1001#DoneWeb10GMeasure$1369406095.609721$1001#StartRunGoOfJobFlow$1369406095.639241$61$2
   DEBUG,05/24/2013 14:34:56.456,        agentUtil,              EvalLog, 99,MeasureLatency,Begin$1369406095.456415#DoneOneRoundConnMeasure$1369406095.639305
   DEBUG,05/24/2013 14:34:56.645,        agentUtil,              EvalLog, 99,OneRoundOfConnMeasure,Begin$1369406096.456764#DoneFindSk$1369406096.473660$1001#DoneWeb10GMeasure$1369406096.624835$1001#DoneOneRoundConnMeasure$1369406096.645855
   DEBUG,05/24/2013 14:34:57.455,        agentUtil,              EvalLog, 99,JobExecutionLoop,Begin$1369406096.456226#ScheduleDone$1369406096.456512#DoneFindSk$1369406096.473680$1001#DoneWeb10GMeasure$1369406096.624862$1001#StartRunGoOfJobFlow$1369406096.645800$61$2
   DEBUG,05/24/2013 14:34:57.455,        agentUtil,              EvalLog, 99,MeasureLatency,Begin$1369406096.456238#DoneOneRoundConnMeasure$1369406096.645864
   DEBUG,05/24/2013 14:34:57.660,        agentUtil,              EvalLog, 99,OneRoundOfConnMeasure,Begin$1369406097.456503#DoneFindSk$1369406097.466305$1001#DoneWeb10GMeasure$1369406097.638953$1001#DoneOneRoundConnMeasure$1369406097.660004
   DEBUG,05/24/2013 14:34:58.456,        agentUtil,              EvalLog, 99,JobExecutionLoop,Begin$1369406097.455956#ScheduleDone$1369406097.456385#DoneFindSk$1369406097.466319$1001#DoneWeb10GMeasure$1369406097.639027$1001#StartRunGoOfJobFlow$1369406097.659958$61$2
   DEBUG,05/24/2013 14:34:58.456,        agentUtil,              EvalLog, 99,MeasureLatency,Begin$1369406097.455966#DoneOneRoundConnMeasure$1369406097.660014
   DEBUG,05/24/2013 14:34:58.625,        agentUtil,              EvalLog, 99,OneRoundOfConnMeasure,Begin$1369406098.456904#DoneFindSk$1369406098.461578$1001#DoneWeb10GMeasure$1369406098.605282$1001#DoneOneRoundConnMeasure$1369406098.625639
   DEBUG,05/24/2013 14:34:59.455,        agentUtil,              EvalLog, 99,JobExecutionLoop,Begin$1369406098.456420#ScheduleDone$1369406098.456657#DoneFindSk$1369406098.461593$1001#DoneWeb10GMeasure$1369406098.605311$1001#StartRunGoOfJobFlow$1369406098.625590$61$2
